EstaciÛn;Porc_datos;Celda_XY;Cont_celda;Nom_Est;Depto;Mpio;AH;ZSZH;x;y
11010010;78;(3-4);5;VUELTALA;ChocÛ;CÈrtegui;Caribe;DariÈnRÌoAnd·gueda;4607247;2162360
11020010;100;(4-5);12;CARMENDEATRATO;ChocÛ;ElCarmen;Caribe;DariÈnAltoAtrato;4652177;2211863
11020020;42;(3-4);5;GUADUAS;ChocÛ;ElCarmen;Caribe;DariÈnAltoAtrato;4647517;2196190
11020050;95;(3-4);5;PINONEL;ChocÛ;ElCarmen;Caribe;DariÈnAltoAtrato;4640026;2195236
11025010;91;(4-5);12;MANSALA;Antioquia;CiudadBolivar;Caribe;DariÈnAltoAtrato;4658557;2208483
11030010;94;(3-3);7;CERTEGUI;ChocÛ;CÈrtegui;Caribe;DariÈnRÌoQuito;4599604;2153115
11030030;72;(2-3);6;MANAGRU;ChocÛ;ElCantÛnDelSanPablo(Managr˙);Caribe;DariÈnRÌoQuito;4586812;2148667
11030040;76;(3-3);7;PAIMADO;ChocÛ;RioQuito(PaimadÛ);Caribe;DariÈnRÌoQuito;4585501;2165002
11035010;66;(3-4);5;LLORO;ChocÛ;LlorÛ;Caribe;DariÈnRÌoQuito;4603367;2168036
11035020;72;(3-3);7;SANISIDRO;ChocÛ;RioQuito(PaimadÛ);Caribe;DariÈnRÌoQuito;4584619;2181015
11040010;98;(3-4);5;TUTUNENDO;ChocÛ;QuibdÛ;Caribe;DariÈnRÌoBebaram·yotrosDirectosAtrato(md);4608205;2193870
11045010;95;(3-3);7;AEROPUERTOELCARANO;ChocÛ;QuibdÛ;Caribe;DariÈnRÌoCabiyotrosDirectosAtrato(md);4596416;2188069
11045030;5;(3-3);7;HUAPANGO;ChocÛ;QuibdÛ;Caribe;DariÈnRÌoCabiyotrosDirectosAtrato(md);4597581;2189108
11050010;97;(4-3);4;Tagachi;ChocÛ;QuibdÛ;Caribe;DariÈnDirectosAtratoentreRÌosBebaram·yMurrÌ(md);4587580;2246950
11050020;76;(4-3);4;BETE;ChocÛ;MedioAtrato(BetÈ);Caribe;DariÈn;4581530;2221848
11050030;83;(4-3);4;ElBuey;ChocÛ;MedioAtrato(BetÈ);Caribe;DariÈnDirectosAtratoentreRÌosQuitoyBojay·(mi);4577032;2233815
11050040;28;(3-3);7;CALAORRA;ChocÛ;QuibdÛ;Caribe;DariÈnDirectosAtratoentreRÌosQuitoyBojay·(mi);4573598;2196647
