Estacion;Porc_datos;pct_nulos;Celda_XY;Conteo_celda;Nombre_Est;Depto;Mpio;AH; Z_SZH;x;y
11010010;79;22;(3 - 4);5;VUELTA LA ;ChocÛ; CÈrtegui ; Caribe ; DariÈn RÌo And·gueda;4607247,584;2162360,662
11020010;100;0;(4 - 5);12;CARMEN DE ATRATO ;ChocÛ; El Carmen; Caribe ; DariÈn Alto Atrato;4652177,228;2211863,751
11020020;42;59;(3 - 4);5;GUADUAS ;ChocÛ; El Carmen; Caribe ; DariÈn Alto Atrato;4647517,517;2196190,599
11020050;95;6;(3 - 4);5;PINON EL ;ChocÛ; El Carmen ; Caribe ; DariÈn Alto Atrato;4640026,816;2195236,819
11025010;92;9;(4 - 5);12;MANSA LA ;Antioquia; Ciudad Bolivar; Caribe ; DariÈn Alto Atrato;4658557,69;2208483,669
11030010;95;6;(3 - 3);7;CERTEGUI ;ChocÛ; CÈrtegui ; Caribe ; DariÈn rÌo Quito ;4599604,917;2153115,118
11030030;72;28;(2 - 3);6;MANAGRU ;ChocÛ; El CantÛn Del San Pablo (Managr˙) ; Caribe ; DariÈn rÌo Quito ;4586812,799;2148667,389
11030040;77;24;(3 - 3);7;PAIMADO ;ChocÛ; Rio Quito (PaimadÛ) ; Caribe ; DariÈn rÌo Quito ;4585501,429;2165002,327
11035010;67;34;(3 - 4);5;LLORO ;ChocÛ; LlorÛ ; Caribe ; DariÈn rÌo Quito ;4603367,623;2168036,175
11035020;72;28;(3 - 3);7;SAN ISIDRO ;ChocÛ; Rio Quito (PaimadÛ) ; Caribe ; DariÈn rÌo Quito ;4584619,738;2181015,168
11040010;98;2;(3 - 4);5;TUTUNENDO ;ChocÛ; QuibdÛ ; Caribe ; DariÈn rÌo Bebaram· y otros Directos Atrato (md) ;4608205,82;2193870,91
11045010;96;5;(3 - 3);7;AEROPUERTO EL CARANO ;ChocÛ; QuibdÛ ; Caribe ; DariÈn rÌo Cabi y otros Directos Atrato (md);4596416,502;2188069,706
11045030;5;95;(3 - 3);7;HUAPANGO ;ChocÛ; QuibdÛ ; Caribe ; DariÈn rÌo Cabi y otros Directos Atrato (md);4597581,449;2189108,56
11050010;97;3;(4 - 3);4;TagachÌ;ChocÛ; QuibdÛ ; Caribe ; DariÈn Directos Atrato entre rÌos Bebaram· y MurrÌ (md) ;4587580,666;2246950,92
11050020;76;24;(4 - 3);4;BETE ;ChocÛ; Medio Atrato (BetÈ) ; Caribe ; DariÈn ;4581530,792;2221848,76
11050030;84;17;(4 - 3);4;El Buey;ChocÛ; Medio Atrato (BetÈ) ; Caribe ; DariÈn Directos Atrato entre rÌos Quito y Bojay· (mi);4577032,325;2233815,919
11050040;29;72;(3 - 3);7;CALAORRA ;ChocÛ; QuibdÛ ; Caribe ; DariÈn Directos Atrato entre rÌos Quito y Bojay· (mi);4573598,958;2196647,54
11050060;85;15;(4 - 3);4;Alto del Buey;ChocÛ; Medio Atrato (BetÈ) ; Caribe ; DariÈn Directos Atrato entre rÌos Quito y Bojay· (mi);4566586,68;2234537,107
11060010;99;1;(5 - 3);4;BUCHADO ;Antioquia; Vigia Del Fuerte ; Caribe ; DariÈn Directos Atrato entre rÌos Bebaram· y MurrÌ (md) ;4581950,314;2268941,556
11070020;86;15;(5 - 4);2;El Roble;Antioquia; Urrao ; Caribe ; DariÈn rÌo MurrÌ ;4642870,916;2258809,478
11070030;83;18;(5 - 5);18;La Clarita;Antioquia; Urrao ; Caribe ; DariÈn rÌo MurrÌ ;4650763,535;2281693,974
11070040;6;94;(5 - 4);2;URRAO ;Antioquia; Urrao ; Caribe ; DariÈn rÌo MurrÌ ;4649730,506;2258890,175
11070130;56;44;(4 - 5);12;BRECHON EL ;Antioquia; Urrao ; Caribe ; DariÈn rÌo MurrÌ ;4664365,208;2236671,722
11075010;39;62;(5 - 5);18;La Honda;Antioquia; Urrao ; Caribe ; DariÈn rÌo MurrÌ ;4650699,5;2261435,794
11075020;84;17;(5 - 5);18;URRAO ;Antioquia; Urrao ; Caribe ; DariÈn rÌo MurrÌ ;4652293,652;2254998,176
11077030;61;40;(5 - 3);4;La Playa;Antioquia; Vigia Del Fuerte ; Caribe ; DariÈn rÌo MurrÌ ;4585355,518;2290695,114
11080010;99;1;(5 - 3);4;Bellavista;ChocÛ; Bojay· (Bellavista) ; Caribe ; DariÈn Directos Atrato entre rÌos Quito y Bojay· (mi) ;4570310,489;2284442,297
11085010;47;53;(5 - 3);4;LOMA LA ;ChocÛ; Bojay· (Bellavista) ; Caribe ; DariÈn RÌo Bojay·;4559442,216;2281666,137
11090010;84;16;(6 - 3);4;OPOGADO ;ChocÛ; Bojay· (Bellavista) ; Caribe ; DariÈn rÌo NapipÌ RÌo OpogadÛ;4560867,222;2312580,83
11100010;45;55;(6 - 3);4;VIGIA DE CURVARADO ;ChocÛ; Carmen Del DariÈn (CurbaradÛ) ; Caribe ; DariÈn RÌo MurindÛ Directos al Atrato;4567321,371;2342523,93
11100020;86;15;(7 - 3);4;DOMINGODO ;ChocÛ; Carmen Del DariÈn (CurbaradÛ) ; Caribe ; DariÈn rÌo Sucio ;4554875,69;2353338,285
11100030;9;92;(6 - 3);4;MURINDO ;Antioquia; MurindÛ ; Caribe ; DariÈn RÌo MurindÛ Directos al Atrato;4585685,349;2333142,911
11105010;16;85;(6 - 3);4;MURINDO ;Antioquia; MurindÛ ; Caribe ; DariÈn RÌo MurindÛ Directos al Atrato;4585655,934;2329451,783
11110010;98;2;(6 - 5);8;NORMAL SANTA TERESA ;Antioquia; Frontino ; Caribe ; DariÈn rÌo Sucio ;4653687,526;2306452,828
11110020;90;11;(5 - 5);18;ABRIAQUI ;Antioquia; AbriaquÌ; Caribe ; DariÈn rÌo Sucio ;4660087,269;2293040,368
11110030;83;17;(6 - 4);3;FUEMIA ;Antioquia; Frontino ; Caribe ; DariÈn rÌo Sucio ;4640636,268;2317022,497
11110040;6;94;(6 - 5);8;CANASGORDAS ;Antioquia; CaÒasgordas; Caribe ; DariÈn rÌo Sucio ;4664770,884;2304907,83
11110110;47;53;(5 - 5);18;BoquerÛn de Toyo;Antioquia; Giraldo ; Caribe ; DariÈn rÌo Sucio ;4670912,731;2299275,135
11115020;89;11;(6 - 5);8;CaÒasgordas Aut;Antioquia;CaÒasgordas;Caribe; Atrato DariÈn RÌo Sucio;4665182,5;2305792,853
11115030;14;86;(6 - 4);3;NUTIBARA ;Antioquia; Frontino ; Caribe ; DariÈn rÌo Sucio ;4640851,109;2312440,87
11115040;69;32;(6 - 4);3;MUSINGA ;Antioquia; Frontino ; Caribe ; DariÈn rÌo Sucio ;4645985,52;2308123,206
